TARIH_DATE,GUN_TIPI,MEVSIM,CALISMA_DURUMU,AY_ADI,GUN_BILGISI,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,KAZA_SAYISI
2022-03-08,Hafta İçi,İlkbahar,İş Günü,March,Tuesday,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,11
2022-03-09,Hafta İçi,İlkbahar,İş Günü,March,Wednesday,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,7
2022-03-10,Hafta İçi,İlkbahar,İş Günü,March,Thursday,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,6
2022-03-11,Hafta İçi,İlkbahar,İş Günü,March,Friday,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,9
2022-03-12,Hafta Sonu,İlkbahar,Tatil Günü,March,Saturday,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,3
2022-03-14,Hafta İçi,İlkbahar,İş Günü,March,Monday,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,12
2022-03-15,Hafta İçi,İlkbahar,İş Günü,March,Tuesday,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,14
2022-03-16,Hafta İçi,İlkbahar,İş Günü,March,Wednesday,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,4
2022-03-17,Hafta İçi,İlkbahar,İş Günü,March,Thursday,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,11
2022-03-18,Hafta İçi,İlkbahar,İş Günü,March,Friday,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,13
2022-03-19,Hafta Sonu,İlkbahar,Tatil Günü,March,Saturday,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,7
