District,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
BUCA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.4927561374502048,86.84422636030882,29.058454919620306
BAYRAKLI,Weekly,Baseline,Mean,3.685283687943263,39.73838086107329,0.0
BAYRAKLI,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",4.012161147116737,38.794227547012476,-8.869804521233561
BAYRAKLI,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",10.437092951711293,89.11584761160695,-183.21002765288276
BAYRAKLI,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",3.1793633171227644,26.323104262073528,13.728125530082325
BAYRAKLI,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",3.0833333333333335,27.572390763342884,16.333894635554493
BAYRAKLI,Weekly,SARIMA,"Order=(1, 0, 1), Seas=(1, 0, 0, 52)",3.421114286193376,26.9242486567358,7.168224324606026
BAYRAKLI,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",3.2881074190223996,26.28994478702711,10.777359426094149
KARABAĞLAR,Weekly,Baseline,Mean,3.518617021276596,142.8512854609929,0.0
KARABAĞLAR,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",2.0864125950725168,54.468811857295606,40.70361785734949
KARABAĞLAR,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",4.638118055604685,95.49072658471741,-31.816507098062086
KARABAĞLAR,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",1.9489686616013469,74.96722758164981,44.60980976854827
KARABAĞLAR,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",2.0027998718934334,79.49420882441048,43.0799129378737
KARABAĞLAR,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 52)",1.9348744123975337,79.52669200454827,45.010371953025505
KARABAĞLAR,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.0062166905353407,79.85155110737661,42.98280607397672
GAZİEMİR,Weekly,Baseline,Mean,3.031914893617022,30.555830442253036,0.0
GAZİEMİR,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",3.0999729449506304,29.479332887032868,-2.2447216931084806
GAZİEMİR,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",11.070084946385782,92.48619104152344,-265.1185912141274
GAZİEMİR,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",2.822762188155257,25.077096882759626,6.898369934528388
GAZİEMİR,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",2.75,24.90315535346828,9.298245614035114
GAZİEMİR,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 52)",2.7961762259190324,26.14736391214847,7.775240267933696
GAZİEMİR,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.75,24.835027038274955,9.298245614035114
ÇİĞLİ,Monthly,Baseline,Mean,2.1833333333333336,66.25000000000001,0.0
